Henryk Sienkiewicz	HENRYK SIENKIEWICZ
Hồi ở Port Xaiđơ em đã từng được đọc - thậm chí ngay trong giờ học - về những cuộc săn sư tử, nhưng xem tranh trong sách là một chuyện, còn đứng đối diện với con quái vật này lại là chuyện khác hẳn, con vật mà giờ đây đang nhìn em dường như ngạc nhiên, cái trán rộng như một chiếc khiên nhíu lại.	Port Saidban még az iskolában is olvasgatott oroszlánvadászatokról, de más volt a könyvben a képeket nézni, s más itt, szemtől szemben állni a szörnyeteggel, mely most mintegy csodál­kozva néz rá, s összeráncolja pajzshoz hasonló homlokát.
Bọn Ả Rập nín thở, vì trong đời chúng chưa bao giờ trông thấy một cảnh tượng như thế này.	Az arabok lélegzetüket is visszafojtották, mert ilyet még soha életükben nem láttak.
Một bên là một thiếu niên nhỏ bé đứng giữa những khối đá cao vút trông lại càng nhỏ bé hơn, còn bên kia là một con dã thú khổng lồ, vàng rực trong ánh chiều, dữ tợn và đẹp tuyệt vời - "ông chủ có cái đầu vĩ đại" như dân Xuđan thường gọi.	Egyfelől egy kisfiú, aki az óriási sziklák között még kisebbnek látszik, másfelől a hatalmas vadállat, vagy ahogy a szudániak nevezik, "a nagy fejű úr", amint a nap sugaraitól megaranyozva áll ott fenségesen, félelmetesen.
Xtas dồn toàn bộ ý chí cưỡng lại sự bất lực của đôi chân để bước tiếp lên phía trước.	Staś minden akaraterejét összeszedve, legyőzte lába aléltságát, s továbblépett.
Tuy vậy có lúc em tưởng như trái tim em vọt lên tận cổ họng, song cảm giác đó chỉ kéo dài cho tới khi em nâng súng lên ngang mặt.	Még egy percig úgy érezte, hogy szíve feltolódik a torkáig, s ez mindaddig tartott, míg a fegyvert arcához nem emelte.
Lúc này cần phải nghĩ tới chuyện khác.	Akkor már másra kellett gondolnia.
Tiến lại gần hơn nữa hay bắn ngay?	Közelebb lépjen-e, vagy máris lőjön?
Nhằm vào đâu?	Hova célozzon?
Bốn mươi bước hãy còn xa quá!...	Negyven lépés... még mindig sok... harminc!
ba mươi!	Húsz!
Hơi gió đã phả tới mùi hôi lộn mửa của con thú...	A szellő már arcába csapja az állat erős szagát...
"Hoặc là đạn trúng giữa hai mắt hoặc là mình rồi đời!	Golyót a szeme közé, vagy végem!
- Em nghĩ thầm.	- gondolta.
- Nhân danh Cha và Con!..." Con sư tử đứng dậy, vươn cổ và hạ thấp đầu xuống.	Az oroszlán felállt, kinyújtózott, fejét lesunyta.
Cặp môi của nó bắt đầu hé mở, đôi lông mày nhíu xuống sát mắt.	Ajka szétnyílt, szemöldöke lehúzódott a szemére.
Cái sinh linh nhỏ nhoi kia dám tiến lại quá gần, nó chuẩn bị cho bước nhảy, khuỵu hai chân sau xuống, bắp đùi run run.	Ez az apró kis jószág nagyon közel merészkedett - ugrásra készült hát, s combjai megremegtek, amint hátsó lábára ereszkedett...
Song chỉ trong mộ t chớp mắt Xtas thấy đầu ruồi khẩu súng hạ xuống ngang trán con thú, và em kéo cò.	Staś egy szempillantás alatt a fenevad homlokára irányította a fegyver hegyét, s meghúzta a ravaszt.
Tiếng súng vang lên.	A lövés eldördült.
Con sư tử chồm dậy dựng đứng suốt cả chiều cao thân hình trong một giây rồi đổ vật xuống, bốn chân giơ lên trời.	Az oroszlán felágaskodott úgy, hogy egy pillanatig teljes magasságában kiegyenesedett, aztán hanyatt zuhant, és lába az égnek meredt.
Trong cơn giẫy chết cuối cùng, nó lăn khỏi tảng đá rơi xuống đất.	Utolsó vonaglásai közben legurult a szikláról.
Vách đá còn vang âm tiếng vọng, Ghebơrơ, Khamix và bọn Bêđuin không thể thấy ngay được chuyện gì đã xảy ra, vì đêm trước trời mưa, không khí còn ẩm khiến khói che mờ cả khe núi hẹp.	Gebhr, Khamisz és a beduinok nem láthatták mindjárt, mi történt, mert előző éjjel esett az eső, s a nedves levegőben a füst mindent eltakart a szűk szakadékban.
Mãi tới khi khói tan đi, bọn chúng mới vui sướng kêu lên và muốn lao tới phía cậu bé, nhưng vô hiệu, vì không sức mạnh nào có thể khiến lũ ngựa tiến thêm một bước lên phía trước.	Csak mikor a füst eloszlott, hangzottak fel az örömrivalgások, mindnyájan a fiúhoz akartak nyargalni, de hiába, mert a lovakat semmiféle erő nem bírhatta rá, hogy egy tapodtat is előremozduljanak.
Còn Xtas quay người lại đưa mắt nhìn bốn tên Ả Rập, rồi chĩa thẳng cái nhìn vào Ghebơrơ.	Staś megfordult, végignézett a négy arabon, s szemét Gebhrre szegezte.
- Ôi, đủ rồi!	- Ej, elég volt!
- Cậu rít qua hai hàm răng nghiến chặt.	- szorította össze fogát.
- Mày đã vượt quá mức rồi!	- Betelt a mérték!
Mày sẽ không bao giờ giết nổi Nen, không bao giờ giết thêm một ai nữa!	Nem gyilkolod meg sem Nelt, sem senki mást!
Và bỗng nhiên em cảm thấy mũi và gò má lại lạnh toát đi, nhưng là một thứ lạnh khác hẳn, cái lạnh không phải nẩy sinh từ nỗi sợ mà từ một quyết định kinh khủng không gì lay chuyển nổi, với quyết định ấy trái tim trong lồng ngực em hiện thời như biến thành sắt thép.	S ismét érezte, hogy arca és orra elzsibbad, de ez már nem a félelem hatása volt, hanem a törhetetlen elhatározásé, melytől a szív egyszerre vassá keményedik.
Phải!	- Úgy van!
Đây là bọn khốn nạn, bọn đao phủ, lũ giết người, còn Nen thì đang nằm trong tay chúng!...	Ezek latrok, hóhérok, gyilkosok, s Nel a kezükben van!...
- Emnhắc lại.	- ismételte.
Em tiến lại phía bọn chúng - đứng lại - và đột nhiên, nhanh như chớp, nâng súng lên ngang mặt.	Közelebb ment hozzájuk, ismét megállt, s hirtelen villámgyorsan arcához emelte a fegyvert.
Hai phát súng nối nhau vang động khe núi: Ghebơrơ nhào xuống đất như bị cát, còn Khamix gục đầu xuống yên, đập trán vào cổ ngựa.	Egymás után két lövés verte fel ismét a szakadék csendjét: Gebhr mint egy homokzsák zuhant a földre, Khamisz pedig véres homlokkal bukott a ló nyakára.
Chỗ ngoặt chỉ cách phía sau chúng không bao xa, và giá như chúng chạy trốn về phía sau - điều mà Xtas thầm mong - thì hẳn là chúng đã có thể tránh được cái chết.	Mögöttük nem messze ott volt a kanyar, ha tehát szökni akartak volna, amit Staś teljes szívéből kívánt, bizonyosan elkerülték volna a halált.
Nhưng mù quáng vì hãi hùng và điên giận, chúng tưởng là sẽ tới được chỗ cậu bé trước khi cậu kịp tháo đạn và sẽ dùng dao băm vằm cậu.	De a rémülettől és dühtől elvakulva azt hitték, elérik Staśt, és leszúrhatják, mielőtt újra megtölthetné a fegyvert.
Bọn ngu xuẩn!	Az ostobák!
Một tên - bị bắn không được chính xác lắm trong lúc vội vã - còn cố chống tay nhổm dậy, nhưng ngay lúc đó, Xaba đã cắn ngập răng vào gáy hắn.	Alig futottak néhány lépést, a vészjósló fegyver ismét kattant, utána két dördülés, s a beduinok arccal buktak a földre.
Một sự im lặng đầy chết chóc bao trùm.	Ott vergődtek még egy darabig, akár a partra vetett halak.
Song Xtas chẳng để ý gì tới tiếng kêu van của nó.	(Nagy úr) Megölni oroszlánt, megölni rossz embereket, de nem megölni Kalit.
Cậu bé đứng lặng một lúc, sững sờ, rồi khi nhìn thấy khuôn mặt trắng nhợt ra của Nen và đôi mắt nửa tỉnh nửa mê mở rộng đầy thảng thốt của cô bé, em liền nhảy vọt tới phía Nen:	Staś azonban nem figyelt rá, egy darabig kábultan állt, de aztán látva Nel halvány arcocskáját s a rémülettől tágra nyílt, szinte üveges szemét, hozzáugrott.
- Nen!	- Nel!
Đừng sợ!...	Ne félj!...
Nen!	Nel!
Chúng ta được tự do rồi...	- - - - - - - - - - - - - - - - - - - - - - - - -
Quả thực các em đã được tự do, nhưng đang bị lạc trong vùng rừng thẳm hoang vu không một bóng người, trong những vực sâu khôn cùng của "lục địa đen".	Csakugyan szabadok voltak, de kitaszítva a lakatlan, vad őserdő rengetegébe, a "fekete világrész" útvesztőiben.
Chương 22:	XXII.
Khi Xtas và cậu thiếu niên da đen kéo được thây của những tên Ả Rập cùng cái xác nặng trịch của con sư tử bị giết sang hai bên khe núi thì mặt trời đã hạ xuống thấp hơn và chẳng mấy chốc nữa đã là đêm.	Mialatt Staś és a néger fiú a szakadék szélére vonszolták az arabok tetemeit és az oroszlán hatalmas testét, a nap leáldozott, s beköszöntött az éj.
Tuy nhiên, khó mà ngủ đêm bên cạnh xác chết, nên mặc dù Cali vừa chỉ vào con thú bị giết vừa xoa xoa bộ ngực và tặc lưỡi lặp đi lặp lại: "Msuri nyama" (tốt, thịt tốt), Xtas vẫn không để cho nó lo cái khoản "nyama" ấy mà bảo nó phải đi tóm bọn ngựa đã bị tiếng súng khiến cho hoảng sợ chạy bạt đi.	A hullák közelében azonban nem éjsza­kázhattak, így tehát, jóllehet Kali az oroszlánra mutogatva kéjesen simogatta gyomra tájékát, s csámcsogva hajtogatta: "msuri nyama" (jó hús), Staś nem engedte, hogy a "nyamá"-val törődjék, hanem megparancsolta, hogy fogja meg a lovakat, melyek a lövések dörejétől meg­rettenve eliramodtak.
Cậu bé da đen giải quyết chuyện này khéo léo vô cùng, thay vì chạy dọc khe núi đuổi theo chúng (nếu làm theo cách này thì hẳn là ngựa sẽ càng chạy xa hơn), cậu bé đã leo lên núi và rút ngắn đường bằng cách bỏ qua các chỗ quanh co củakhe, chắn ngang đường chạy của lũ ngựa.	Kali nagyon ügyesen megoldotta ezt a feladatot, mert ahelyett hogy a lovakat a szakadékban üldözte volna, s egyre tovább hajtotta volna maga előtt, felkapaszko­dott a szakadék partjára, s a kanyarulatokat átszelve eléjük került.
Bằng cách đó, nó lẹ làng tóm ngay được hai con, còn hai con nữa đuổi quay trở lại phía Xtas.	Ily módon kettőt könnyű­szerrel megfogott, a másik kettőt pedig visszakergette Staśhoz.
Chỉ có những con ngựa của Ghebơrơ và Khamix là không thể bắt được, tuy thế cũng vẫn còn bốn con, chưa kể đến chú lừa đang thồ nặng hàng và cái lều, chú này đã tỏ ra có một sự bình thản hoàn toàn triết học đối với những biến cố kinh khủng vừa xẩy ra.	Gebhr és Khamisz lovait azonban nem lehetett már elfogni, ámde így is volt négy lovuk, nem számítva a felmálházott fülest, mely a tragikus események közepette valóságos filozófusi nyugalmat tanúsított.
Bọn trẻ tìm được chú ta ngay sau khúc ngoặt, lúc chú đang rứt cỏ mọc trong lòng khe núi một cách rất tỉ mẩn, không chút vội vã.	Ott találták meg a kanyaron túl, amint gondosan, minden sietség nélkül csipegette a szakadék alján zöldellő füvet.
Ngựa vừa thở phì phò, lỗ mũi mở rộng, vừa vươn cổ về phía những tảng đá đẫm máu; tuy nhiên, khi thấy chú lừa chỉ hơi cụp tai một tí, bình thản bước qua,thì chúng cũng bước qua.	Horkantak, orrlyukaik kitágultak, s nyakukat nyújtogatták a véres kövek felé, mikor azonban látták, hogy a szamár éppen csak hátracsapja füleit, különben nyugodtan áll, ők is neki­indultak.
Đêm đã gần buông xuống, nhưng bọn trẻ còn đi đến gần một cây số mới dừng lại ở khe núi phình rộng thành một cái thung lũng nhỏ, giống như một nhà hát có nhiều bậc hình vòng tròn, mọc đầy cây gai góc và những khóm trinh nữ nhiều gai.	Az éjszaka már a nyakukon volt, mégis megtettek vagy egy kilométernyi utat, s csak ott álltak meg, ahol a szakadék ismét elég tágas völggyé szélesedett, melyet sűrűn benőtt a bozót s a tövises mimóza.
- Ông chủ ơi!	- Uram!
- Cậu bé da đen nói. - Cali đốt lửa, đốt một đống lửa to.	- szólt a néger fiú - Kali rakni nagy tüzet, hatalmas tüzet!
Rồi lấy thanh gươm Xuđan rộng bản tước được từ xác Ghebơrơ, nó bắt đầu chặt gai góc và cả những cây gỗ nhỏ nữa.	Azzal elővette a Gebhr hullájáról leoldozott széles kardot, s vagdalni kezdte a bozótot, sőt nagyobbacska fákat is kivágott.
Sau khi nhóm lửa lên, nó còn chặt tiếp, cho tới khi được một khối lớn, có thể dùng cả đêm.	Meggyújtotta a tüzet, azután tovább gyűjtötte a tüzelőt, míg éjszakára elegendő össze nem gyűlt.
Sau đó, cùng với Xtas, nó dựng túp lều nhỏ dành cho Nen ngay dưới một vách đá cao dựng đứng của thung lũng, rồi làm một hàng rào gai cao và rộng hình bán nguyệt - gọi là deriba - vây quanh.	Azután Staś segítségével felállította Nel sátrát a völgykatlan függőleges fala tövében, s félkör alakú, tövises kerítéssel, úgynevezett zeribával vette körül.
Qua chuyệ n của những nhà thám hiểm Phi châu, Xtas biết rằng khách bộ hành thường dùng cách này để tự vệ chống lại sự tấn công của các loài dã thú.	Staś az afrikai utazások leírásaiból tudta, hogy a karavánok ilyen módon védekeznek a vadállatok támadásai ellen.
Tuy vậy, ngựa thì không thể nhốt trong hàng rào được, nên bọn trẻ tháo yên cương ra, lấy các tú i hàng và đồ hộp khỏi lưng chúng và buộc giằ ng hai chân để chúng không đi quá xa khi lầ n đi kiếm cỏ ăn và nước uống.	A lovak azonban nem fértek el a kerítésen belül, a fiúk tehát levették róluk a málhát, lábukra béklyót tettek, hogy ne csatangoljanak el messzire fű vagy víz után.
Có nhiều nước, đủ cho ngựa uống, đủ để nấu thịt chim mà Khamix bắn được lúc sáng.	Bőven volt benne víz, jutott a lovaknak is, és megfőzhették benne a gyöngytyúkokat, melyeket Khamisz lőtt.
Trong gùi hàng cùng chỗ với cái lều của Nen do con lừa thồ, bọn trẻ còn tìm thấy gần ba nồi ngô và vài nhúm muối, cùng chùm củ sắn khô nữa.	A málhában, melyet a szamár cipelt, találtak vagy három véka durrát, néhány marék sót és egy köteg szárított manjokgyökeret.
Ngần ấy quá đủ cho một bữa ăn thịnh soạn.	Kikerült tehát a pompás vacsora.
Tuy nhiên, chỉ có Cali và Mêa là ăn nhiều.	Ezt azonban inkább csak Kali és Mea élvezték.
Cậu bé da đen vốn bị Ghebơrơ bắt nhịn đói một cách tàn nhẫn, giờ đây ăn một lượng thức ăn bằng cả hai người thường.	A fiatal négert Gebhr embertelenül éheztette, most hát két ember helyett is evett.
Simba kufa", mà trong ngôn ngữ Kixvahili có nghĩa là: sư tử bị giết.	Szimba kufa!", ami szuahéli nyelven azt jelenti: az oroszlánt megölték.
Song cả "ông lớn" lẫn cô bé không có lòng nào nghĩ tới chuyện ngủ.	De a "nagy úr" meg a kis "bibi" nemigen tudtak elaludni.
Theo lời yêu cầu khẩn khoản của Xtas, Nen có nuốt vài miếng thịt chim và mấy hạt ngô nấu mềm.	Nel, Staś unszolására nagy nehezen lenyelt néhány falat húst, pár szem főtt durramagot, de kijelentette, hogy sem nem éhes, sem nem álmos, csak szomjas.
Xtas thoạt đầu lo lắng rằng cô bé bị sốt, nhưng em thấy tay cô bé rất lạnh, thậm chí quá lạnh nữa.	A kislány keze azonban nem volt meleg, sőt inkább túlságosan hideg.
Tuy nhiên, em cũng nài được Nen vào lều, nơi em đã chuẩn bị sẵn chỗ nằm cho cô bé, trước đó em đã tìm rất kĩ xem trong cỏ có bọ cạp hay không.	Mégis rábeszélte, hogy menjen be a sátorba, ahol háló­helyét elkészítette, miután tüzetesen megvizsgálta, hogy nincsenek-e skorpiók a fűben.
Xtas ngồi xuống tảng đá với khẩu súng trong tay, bảo vệ cho cô bé khỏi bị dã thú tấn công, nếu như lửa không đủ khiến chúng sợ.	Ő maga leült egy kőre, kezébe fogta a karabélyt, hogy testvérkéjét megvédje a vadállatok táma­dásától, ha a tűz nem bizonyulna elegendő védelemnek.
Em vô cùng mệt và kiệt sức.	Rendkívüli fáradtság és kimerültség vett rajta erőt.
Em cứ lặp đi lặp lại trong lòng: "Ta đã giết chết Ghebơrơ và Khamix, ta đã giết bọn Bêđuin, đã giết con sư tử và đã được tự do".	Egyre ezt hajtogatta magában: "Megöltem Gebhrt és Khamiszt, megöltem a beduinokat, megöltem az oroszlánt, és most szabadok vagyunk." De e szavakat mintha más suttogta volna a fülébe, s maga nem is értené, mit jelentenek.
Nhưng những lời ấy dường như là của ai đó thì thầm với em, chứ bản thân em không hiểu thật rõ ý nghĩa của chúng.	Csak azt érezte, hogy szabadok, de egyszersmind valami szörnyű dolog is történt, mely nyugtalansággal tölti el lelkét, s nagy kő gyanánt nehezedik a szívére.
Về sau, những ý nghĩ của em bắt đầu đờ ra.	Gondolatai végül megdermedtek.
Em nhìn thẫn thờ một lú c lâu những con thiêu thân đang quay vòng quanh ngọn lửa, rồi bắt đầu ngủ gật và thiếp đi những giấc ngắn.	Sokáig nézte a tűz körül keringő óriási éjjeli lepkéket, végül leejtette fejét, és elbóbiskolt.
Cali cũng ngủ gà ngủ gật, nhưng cứ chốc chốc lại tỉnh giấc để ném thêm cành cây vào đống lửa.	Kali is szundikált, de minduntalan felriadt, hogy friss gallyat dobjon a tűzre.
Đêm sâu thẳm và rất tĩnh mịch, điều thật hiếm thấy trong vùng nhiệt đới.	Sötét éjszaka lett, teljes volt a csend, ami pedig az Egyenlítő mentén ritkán fordul elő.
Chỉ nghe tiếng lách tách của những cành gai đang cháy và tiếng réo phù phù của ngọn lửa soi sáng những rạn đá vây quanh thành một vòng bán nguyệt.	Csak a tűz pattogása meg a láng sziszegése hallatszott, mely fényesen megvilágította a félkörben húzódó bozótot.
Mặt trăng không chiếu được ánh sáng xuống lòng khe, nhưng trên trời nhấp nhánh những vì sao vô danh dầy đặc.	A holdfény nem hatolt be a szakadék mélyébe, de a magasban ott fénylettek az ismeretlen csillagok milliói.
Không khí trở nên mát lạnh, khiến Xtas chợt tỉnh, cố rũ bỏ cảm giác nặng nề ngái ngủ và bắt đầu lo lắng, không hiểu Nen có bị lạnh hay không.	A levegő oly hűvös lett, hogy Staś felébredt, lerázta magáról az álom merevségét, azután azon töprengett, vajon Nelnek nem árt-e meg a hűvös idő.
Song em lại yên tâm ngay khi nhớ ra rằng em đã đưa cô bé vào lều và cho ngủ trong tấm chăn dạmà bà Đina mang theo từ Phaium.	De megnyugodott, mert eszébe jutott, hogy a sátorba odakészítette neki azt a takarót, melyet a vén Dinah még Faiyumból hozott el.
Em còn nghĩ ra rằng, suốt ngần ấy ngày đi từ sông Nin theo đường dốc lên mãi - mặc dù độ dốc không nhiều - nhưng hẳn giờ đây chúng đã lên đến vùng khá cao, nơi bệnh sốt rét không còn đe dọa như ở vùng lũng sông ẩm thấp nữa.	Azt is megfigyelte, hogy a Nílustól kezdve, ha nem is meredeken, de állandóan felfelé haladnak, úgyhogy már jó magasan járhatnak, ahol a váltóláz nem fenyegetheti őket annyira, mint a folyó mély völgyében.
Cái lạnh cảm thấy được trong đêm hình như cũng khẳng định điều này.	A bántó éjszakai hideg meg­erősítette ezt a feltevést.
Và ý nghĩ ấy khiến em thêm vữ ng lòng.	Új lelket öntött bele ez a gondolat.
Em tiến đến gần lều để nghe xem Nen ngủ có say không, rồi quay lại, ngồi xuống bên đống lửa và lại bắt đầu thiu thiu ngủ, rồi thiếp đi.	A sátorhoz lépett, hogy meghallgassa, vajon Nel nyugodtan alszik-e, eztán visszatért, közelebb húzódott a tűzhöz, s ismét elbóbiskolt, sőt mélyen el is aludt.
Cali cũng mở mắt và cả hai lo lắng nhìn con chó đang căng thẳng toàn thân như một sợi dây đàn, tai vểnh lên, mũi phập phồng đánh hơi về phía mà cả bọn vừa đi đến, mắt nhìn đăm đăm vào bóng tối.	Kali szintén felserkent, s mind a ketten nyugtalanul nézték a szelindeket, amint nekifeszülve, táguló orrcimpáival arrafelé szimatolt, ahonnan idejöttek, s tekintetét mereven a sötétségbe szegezte.
Lông cổ và lông lưng nó xù lên, ngực phồng không khí mà vừa gầm gừ, nó vừa hít vào.	Nyakán és hátán felborzolódott a szőr, s melle kidomborodott, amint morogva szívta be a levegőt.
Chàng nô lệ trẻ tuổi vội vàng ném thêm cành khô vào đống lửa.	A fiatal rabszolga gyorsan friss gallyakat dobott a tűzre.
- Ông chủ!	- Uram!...
- Nó thì thào.	- suttogta.
- Cầm súng đi! Cầm lấysúng đi ông chủ!	- Venni a fegyvert, venni a fegyvert!
Xtas cầm lấy khẩu súng bước ra đứng phía trước lửa để trông rõ hơn khe núi tối mịt.	Staś fogta a karabélyt, s a tűz elé állt, hogy jobban belásson a szakadék homályos mélyébe.
Tiếng gầm gừ của Xaba đã chuyển thành tiếng sủa rời rạc.	Sába morgása szaggatott csaholássá erősödött.
Suốt một hồi lâu không thể nghe được gì hết, rồi tai Xtas và Cali nghe vọng lại từ xa tiếng vó trầm đục, dường như có những con thú to lớn nào đó đang phi nhanh về phía ngọn lửa.	Sokáig semmit sem lehetett hallani, végül Staś és Kali fülét tompa dobogás ütötte meg, mintha hatalmas fenevadak száguldanának a tűz felé.
Tiếng chân ấy, giữa cái tĩnh mịch của đêm thanh, đập vào đá vọng lại thành những tiếng vang mỗi lúc một to hơn.	A dobogás visszhangja visszaverődött a sziklafalakról, s egyre erősödött.
Xtas hiểu rằng một nỗi nguy hiểm chết người đang tiến lại.	Staś sejtette, hogy valami halálos veszedelem közeledik.
Nhưng đó là cái gì.	De miféle?
Có thể là trâu rừng, cũng có thể là một đôi tê giác đang tìm lối thoát ra khỏi khe núi?	Talán kafferbivalyok vagy egy orrszarvúpár, mely a szurdékból igyekszik kijutni?
Trong trường hợp ấy, nếu như tiếng súng không làm chúng sợ mà quay đi, thì cả bọn không thoát chết, bởi vì những giống vậ t này, vốn không ít dữ tợn và hăng máu hơn bọn thú ăn thịt, hoàn toàn không sợ lửa, sẽ chà đạp tất thảy mọi thứ chúng gặp trên đường...	Ha a lövés döreje meg nem ijeszti őket, s vissza nem fordulnak, semmi sem mentheti meg a karavánt, mert ezek a rosszindulatú állatok éppen olyan vérengzőek, mint a ragadozók, ellenben nem félnek a tűztől, s útjukban mindent összetaposnak.
Nhưng nếu như đó lại là toán quân của gã Xmainơ, sau khi gặp những cái thây người trong khe núi, đang săn tìm kẻ giết người thì sao?	Hátha Smainnak egyik csapata, mely a szurdékban rábukkant a holttestekre, s most a gyilkosokat üldözi?
Bản thân Xtas cũng không biết giữa cái chết nhanh chóng và một cảnh nô lệ mới - cái nào là tốt hơn.	Staś maga sem tudta, mi lenne jobb, a hirtelen halál-e avagy egy újabb rabság?
Em thoáng nghĩ, nếu như chính gã Xmainơ có mặt trong toán quân này, thì y sẽ không giết chúng, nhưng nếu như không có mặt y thì bọn tín đồ Hồi giáo ấy sẽ giết chúng trong chớp mắt, hoặc tệ hơn, còn hành hạ chúng một cách tàn nhẫn trước khigiết chết nữa kia.	Az a gondolat is átvillant agyán, hogy ha Smain maga is ott van a csapatban, akkor talán megkíméli őket a haláltól, de ha nincs ott, a dervisek bizonyosan megölik, vagy ami még rosszabb, előbb borzalmasan megkínozzák őket.
- Ngựa!	- A lovak!
- Cali kêu lên.Đó chính là những con ngựa của Ghebơrơ và Khamix.	- kiáltotta Kali.
Song Xtas không rời súng khỏi má.	Staś azonban nem eresztette le a fegyvert.
Em chắc rằng, ngay sau lũ ngựa sẽ nhô ra cái đầu xù lông của một con sư tử hay cái sọ bẹt của con báo gấm.	Biztos volt benne, hogy a lovak nyomában minden pillanatban előbukkanhat a bozót sűrűjéből egy oroszlán bozontos feje vagy egy párduc lapos koponyája.
Lũ ngựa dần dần bình tĩnh trở lại, hơn nữa, một lúc sau Xaba cũng thôi không còn đánh hơi, mà khoanh khoanh mấy vòng một chỗ như loài chó thường làm, nằm xuống cuộn mình thành một vòng tròn và nhắm mắt lại.	A lovak lassanként megnyugodtak, sőt Sába is abbahagyta a szima­tolást, és kutyaszokás szerint néhányszor körülforgolódott, majd leheveredett, összekuporo­dott, s behunyta szemét.
Hẳn là, nếu như có một con dã thú nào đó đuổi theo lũ ngựa, thì khi cảm thấy hơi khói hoặc trông thấy ánh lửa, nó đã rút lui từ xa rồi.	Úgy látszik, ha ragadozó kergette a lovakat, megérezte a füst szagát, vagy megpillantotta a tűz fényét, és már messziről visszafordult.
- Chắc phải có gì đó khiến chúng nó sợ lắm, - Xtas nói với Cali, - nếu không, chúng nó đã chẳng dám chạy ngang qua xác người và sư tử đâu.	- Úgy nézem, alaposan rájuk ijesztett valami - fordult Staś Kalihoz -, ha nem féltek az emberek és az oroszlán hullája mellett visszajönni.
- Ông chủ ơi! - Cậu bé nói. - Cali biết chuyện gì xảy ra.	- Uram - szólt a fiú -, Kali gondolni már, mi történt.
Nhiều, nhiều linh cẩu và lang núi đi vào khe, đến chỗ các xác chết.	Sok-sok hiéna és sakál bejönni a szaka­dékba és menni a hullákhoz.
Ngựa chạy trốn chúng, nhưng linh cẩu không đuổi theo chúng, vì còn ăn thịt Ghebơrơ và những tên kia...	A lovak előlük szökni, de ők a lovakat nem üldözni, mert ők megenni Gebhrt meg a többieket...
- Cũng có thể, nhưng bây giờ cậu hãy đi tháo yên cương ngựa, cởi các bình và túi mang lại đây!	- Az lehet, de most menj, vedd le a lovakról a nyerget, a szerszámot, és a zsákokat hozd ide.
Đừng có sợ, có khẩu súng này bảo vệ rồi!	Ne félj, mert a karabély megvéd.
- Cali không sợ.	- Kali nem félni - felelt a fiú.
- Anh Xtas, có chuyện gì vậy?	- Staś, mi történt?
- Cô bé hỏi.	- kérdezte.
- Chẳng có gì.	- Semmi.
Mấy con ngựa kia quay trở lại thôi.	A másik két ló jött meg.
Tiếng chân chúng khiến em thức dậy đấy à?	Az ő dobogásuk ébresztett fel?
- Em đã dậy từ trước và muốn ra khỏi lều, nhưng...	- Nem, már azelőtt is ébren voltam. Ki akartam jönni a sátorból, de...
- Nhưng sao?	- De?
- Em sợ rằng anh sẽ giận.	- Féltem, hogy hátha megharagszol.
- Anh?	- Én?...
Giận em?	Terád?...
Nen ngước mắt lên nhìn cậu bé bằng một cái nhìn là lạ trước đó chưa hề có bao giờ.	Nel felvetette szemét, s oly különös tekintettel nézett Staśra, ahogyan ezelőtt sohasem.
Trên nét mặt Xtas thoáng qua một nỗi ngạc nhiên lớn, vì trong lời nói và cái nhìn của cô bé, cậu đọc thấy một nỗi sợ sệt rõ ràng.	Staś arcán nagy csodálkozás suhant át, mert Nel tekintetéből és szavaiból világosan kiolvasta, hogy fél.
"Con bé sợ mình rồi"! - Em thầm nghĩ.	Tőlem fél - gondolta magában.
Ý nghĩ rằng sau hành động mà em vừa làm, ngay cả Nen cũng đã xem em không chỉ là người hoàn toàn khôn lớn, mà còn là một chiến sĩ gieo rắc nỗi sợ hãi hùng chung quanh mình - khiến em thấy thu thú.	Az első pillanatban valami halvány büszkeséget érzett, hízelgett neki a gondolat, hogy azok után, amit tett, Nel is meglett, kész férfinak, sőt félelmetes vitéznek tartja, aki rettegéssel tölti el környezetét.
Do vậy, em thấy được rằng, trong cặp mắt đầy lo lắng của cô bé, bên cạnh nỗi sợ hãi, dường như còn có cả sự ghê tởm đối với những gì vừa xảy ra, đối với máu vừa đổ, đối với sự tàn bạo mà hôm nay cô bé được chứ ng kiến.	De öröme nagyon rövid ideig tartott, mert csakhamar rájött, hogy a kislány szeméből a félelem mellett valami irtózatféle is sugárzik: irtózik attól, ami történt, a vér­ontástól, mindama borzalomtól, aminek ma tanúja volt.
Em chợt nhớ lại rằng vừa mới rồi cô bé rụt tay lại không muốn vuốt ve Xaba, con chó đã cắn chết hẳn một tên Bêđuin.	Visszaemlékezett rá, hogy az imént hogyan kapta vissza kezét, nem akarta megsimogatni Sábát, aki az egyik sebesült beduint megfojtotta.
Phải!	Igen!
Chính Xtas cũng cảm thấy trên ngực mình đè nặng một cơn ác mộng.	Staś maga is érezte lelkén a lidércnyomást.
Chắc hẳn Nen đang mang trong tim đầy nỗi sợ hãi, song đồng thời cả sự ghê tởm nữa, sự ghê tởm sẽ còn lại mãi mãi.	Igen, Nel szíve bizonyosan tele van félelemmel, iszonyattal, ami örökre megmarad benne.
